,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
55284|5MC,0.000000000000000000017987722493619518336322779217681317298605127409895109414336486118398459108137620589688419873747902949891299564571805198901014492895086453779105713058770536214495880053271896105338439030707150629039753,Homo sapiens,5MC,other,LNCaP,Epithelium,Prostate,1,5MC
47101|TCF4,0.000000000000000000035759209043456304722523293514453138231465966027637443441803013515454125817184983482984128518214870088219433847101798665114541574025302165356069252163791493785639859387438486218521195938952342268886945,Homo sapiens,TCF4,tf,CAL-1,Dendritic Cell,None,1,TCF4
65214|GLIS1,0.000000000000000000070802344521276691866344774686185216566916283018532196887629752092040767083153004180667279393317278068529746363906520702886807276261746454486745131806126614703282705341794036636371248708763999750399091,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
45661|MAZ,0.000000000000000000071689214663018770900993060154934730898528646554950616775010823142091637096909851345577000470775369595174250484606575308811218537317022030376300840903616761296366697599457253237061458906321653632010165,Homo sapiens,MAZ,tf,GM12878,B Lymphocyte,Blood,1,MAZ
65114|ZNF121,0.00000000000000000011748486535642472515993789222429258824303849789681779196996368360845880250980343222107690908441546469619160660426039547449870467218063097109129408933299103773212319341809771091031001940856123479660994,Homo sapiens,ZNF121,,HEK293,Epithelium,Embryonic Kidney,1,ZNF121
8790|PHF8,0.0000000000000000001457437140470649849921890589267834112642765200633154012233156396715887361949521850453953663036461250353810445103868390062595868299310579805475720053238612763608629408680822076828252702328348363944367,Homo sapiens,PHF8,cr,K562,Erythroblast,Bone Marrow,1,PHF8
65147|EGR2,0.00000000000000000016424791500688520793248237905339610183833383190826376083741621443583493576067758110342347093891438684308290530428887464835442772597180722579725328175005443661754650261030821937266862214410082459446528,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
65164|ZNF770,0.00000000000000000019084480467709559917973225292683708345906954173654324419139115606757497179660355607418728464632900897148562813567538366570199730150878071639822352549015378264096940644699724846594345588950444352238162,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
52241|ZTA,0.00000000000000000019419175082106484720115502568092344427033095850281714739864457585023914143182887843119423186522066151714490642726542972819836899407875604924887623189512913782309800747593980828178531123708021208350677,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
72398|BRD9,0.00000000000000000025165945522558647397731514296246612700012888405334236853464323311309474068483199349228639010341160075830106552596903402263397945003157401000115710712620048436625982055228507771829464776738681172934745,Homo sapiens,BRD9,other,NOMO-1,Acute myeloid leukemia,None,1,BRD9
62800|KLF9,0.0000000000000000006779529666593788816258092007793662954293899392695069636533152675624756860536315810306812954259154378093425598244540659086069515738592840573950660942319089269262346101528699255015745706762689938995128,Homo sapiens,KLF9,tf,MCF-7,Epithelium,Breast,1,KLF9
65197|KLF15,0.00000000000000000087081805860815408846221281067453258989341127668875868042673892172171522461319481258278188671018636237614815100308435646431364348007093908038629022256020803140986734332693959914774719828714024270851363,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1,KLF15
37177|STAT4,0.0000000000000000010310934775273199917812587710146142324285508265457606706656543380470597709413852425025130109929039266981571983001204771086096107723401319008678625529745305965201473590948331905000223217895304466275617,Homo sapiens,STAT4,tf,None,Monocyte,Blood,1,STAT4
65128|ZNF436,0.0000000000000000014626793623137830002062621204447626655746329237499987824803906542720387307538995172365434051144165262074238729102096453894897007810302287650285298671042521335856811275217412076586773881467046582944562,Homo sapiens,ZNF436,,HEK293,Epithelium,Embryonic Kidney,1,ZNF436
77117|ZNF445,0.0000000000000000014819023961382125763388281297220070937805551155761918045790671047607720678361508409034252281812620462361430508822513330833006773825561426958763811632829716752762602124335107197978255388357327452086067,Homo sapiens,ZNF445,tf,293T,None,None,1,ZNF445
65188|KLF1,0.0000000000000000018318719384446439807371720057156015234408060797018837816722337666812048842510050460349719261121661647318537735382411845205176496936788329482089597516558165943456216679675785906155290839844722241923837,Homo sapiens,KLF1,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,KLF1
