,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
8564|TBL1X,2.0817682871987486e-07,Homo sapiens,TBL1X,cr,HEK293T,Epithelium,Embryonic Kidney,1,TBL1X
51542|POU5F1,2.1960726032110855e-07,Homo sapiens,POU5F1,tf,HUES64,Embryonic Stem Cell,Embryo,1,POU5F1
41412|ERCC2,3.275562848736868e-07,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
69626|PSMA7,3.8852169864656005e-07,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
68379|DUX4,5.816968962069069e-07,Homo sapiens,DUX4,other,LHCN-M2,Myoblast,Skeletal Muscle,1,DUX4
76967|MBOAT4,6.116124784405486e-07,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,1,MBOAT4
50899|LHX2,7.685966877390982e-07,Homo sapiens,LHX2,tf,6540 cells,Epithelium,None,1,LHX2
42637|CREBBP,8.171658190114783e-07,Homo sapiens,CREBBP,cr,HEK293,Epithelium,Embryonic Kidney,1,CREBBP
63592|TCF7,1.0706536426874358e-06,Homo sapiens,TCF7,tf,HepG2,Epithelium,Liver,1,TCF7
77155|ZNF248,1.1369459462784448e-06,Homo sapiens,ZNF248,tf,293T,None,None,1,ZNF248
45779|SMARCB1,1.1391149799533373e-06,Homo sapiens,SMARCB1,cr,HeLa-S3,Epithelium,Cervix,1,SMARCB1
76995|GLI2,1.3265149090835315e-06,Homo sapiens,GLI2,tf,THP-1,None,None,1,GLI2
1208|DDX5,1.5542848146865573e-06,Homo sapiens,DDX5,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,DDX5
36349|PTPN11,2.026116497910735e-06,Homo sapiens,PTPN11,other,A549,Epithelium,Lung,1,PTPN11
44026|AGO1,2.4281010827520433e-06,Homo sapiens,AGO1,other,PC-3,Epithelium,Prostate,1,AGO1
36712|CDX2,3.374928340016403e-06,Homo sapiens,CDX2,tf,COLO-320,Epithelium,Colon,1,CDX2
8532|VEZF1,3.477827123177235e-06,Homo sapiens,VEZF1,tf,HeLa-S3,Epithelium,Cervix,1,VEZF1
56901|PBX3,3.7812732552322537e-06,Homo sapiens,PBX3,tf,SMMC-7721,None,Liver,1,PBX3
76568|UHRF2,3.88460857914108e-06,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
70228|DNMT3A,4.081240966513633e-06,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
53323|INTS3,5.333575299970583e-06,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
47599|GATA6,6.121803340086718e-06,Homo sapiens,GATA6,tf,AGS,Epithelium,Stomach,1,GATA6
38488|RBL2,6.899127106219094e-06,Homo sapiens,RBL2,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL2
50409|PPARG,8.502515453145953e-06,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1,PPARG
45815|MAFK,8.763611327122778e-06,Homo sapiens,MAFK,tf,HepG2,Epithelium,Liver,1,MAFK
65086|ZSCAN16,9.253677756837497e-06,Homo sapiens,ZSCAN16,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN16
74382|RELA,9.94116857727656e-06,Homo sapiens,RELA,tf,MCF-7,None,Breast,1,RELA
64780|JUNB,1.8851637713146463e-05,Homo sapiens,JUNB,tf,GM12878,B Lymphocyte,Blood,1,JUNB
41793|JARID2,2.3690001492659984e-05,Homo sapiens,JARID2,cr,None,iPSC,None,1,JARID2
44875|5HMC,2.819055159974937e-05,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
71873|SMC1A,3.0384419127837958e-05,Homo sapiens,SMC1A,predicted chromatin regulator,HepG2,hepatocellular carcinoma,None,1,SMC1A
45801|MAFF,3.512745567507691e-05,Homo sapiens,MAFF,tf,HepG2,Epithelium,Liver,1,MAFF
71210|PIAS1,4.5510714790975015e-05,Homo sapiens,PIAS1,other,LNCaP,Epithelium,Prostate,1,PIAS1
