,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
67859|EBNA2,0.9997056897430618,Homo sapiens,EBNA2,other,GM12878,B Lymphocyte,Blood,0,EBNA2
43739|CDK7,0.9997221456738246,Homo sapiens,CDK7,predicted transcription factor,MM1.S,B Lymphocyte,Blood,1,CDK7
63123|MBD1_isoform2,0.9997259123769162,Homo sapiens,MBD1_isoform2,,HepG2,Epithelium,Liver,1,MBD1_isoform2
42711|DR1,0.9997352445235635,Homo sapiens,DR1,tf,LoVo,None,Colon,1,DR1
38719|DLX1,0.9997392008554655,Homo sapiens,DLX1,tf,LoVo,None,Colon,1,DLX1
64787|ZNF687,0.9997809053873936,Homo sapiens,ZNF687,,MCF-7,Epithelium,Breast,1,ZNF687
77113|ZNF468,0.9997833608944638,Homo sapiens,ZNF468,other,293T,None,None,1,ZNF468
56010|CDK12,0.9997874210918218,Homo sapiens,CDK12,tf,Jurkat,T Lymphocyte,Blood,1,CDK12
1228|CCDC101,0.999798756231928,Homo sapiens,CCDC101,cr,HeLa,Epithelium,Cervix,1,CCDC101
8563|GPS2,0.9998091422933078,Homo sapiens,GPS2,not sure,HEK293T,Epithelium,Embryonic Kidney,1,GPS2
38647|ETV7,0.9998214504906167,Homo sapiens,ETV7,tf,LoVo,None,Colon,1,ETV7
38695|RBCK1,0.9998273566526588,Homo sapiens,RBCK1,tf,LoVo,None,Colon,1,RBCK1
64620|TRIM22,0.9998314473080763,Homo sapiens,TRIM22,,GM12878,B Lymphocyte,Blood,1,TRIM22
49482|ZNF92,0.9998359354438904,Homo sapiens,ZNF92,tf,None,Retinal pigment cell,None,1,ZNF92
43450|SUPT5H,0.999843284715545,Homo sapiens,SUPT5H,tf,HeLa,Epithelium,Cervix,1,SUPT5H
46188|SIX5,0.9998433639682264,Homo sapiens,SIX5,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,SIX5
76499|ZMYND8,0.9998472700986825,Homo sapiens,ZMYND8,cr,ZR-75-30,None,None,1,ZMYND8
64008|ZNF589,0.9998569848507786,Homo sapiens,ZNF589,,K562,Erythroblast,Bone Marrow,1,ZNF589
65061|ZNF554,0.9998673216203233,Homo sapiens,ZNF554,,HEK293,Epithelium,Embryonic Kidney,1,ZNF554
63127|MNT,0.9998699222478022,Homo sapiens,MNT,tf,HepG2,Epithelium,Liver,1,MNT
46131|RUNX3,0.9998743965515962,Homo sapiens,RUNX3,tf,GM12878,B Lymphocyte,Blood,1,RUNX3
1223|C17orf49,0.9998781293681409,Homo sapiens,C17orf49,cr,HeLa,Epithelium,Cervix,1,C17orf49
45935|TBL1XR1,0.9998818438101112,Homo sapiens,TBL1XR1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,TBL1XR1
39886|HCFC1,0.9998840702534055,Homo sapiens,HCFC1,tf,HEK293T,Epithelium,Embryonic Kidney,0,HCFC1
46289|TAF7,0.999893225706241,Homo sapiens,TAF7,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,TAF7
